classifier,group,timeframe,instrument,window,bars_per_year,share_bull,drift_bull,vol_bull,ac1_bull,eff_bull,share_bear,drift_bear,vol_bear,ac1_bear,eff_bear,share_chop,drift_chop,vol_chop,ac1_chop,eff_chop,s1,kw_h,d_eff,d_ac1,n_bars,s1_null_mean,s1_null_p5,s1_null_p95,s1_z,s1_p,kw_h_null_mean,kw_h_null_p5,kw_h_null_p95,kw_h_z,kw_h_p,d_eff_null_mean,d_eff_null_p5,d_eff_null_p95,d_eff_z,d_eff_p,d_ac1_null_mean,d_ac1_null_p5,d_ac1_null_p95,d_ac1_z,d_ac1_p
ADX,crypto,4h,BNB-USD,IS,2188,0.306238,0.000120,0.547312,-0.033965,0.268010,0.341739,0.000451,0.654641,-0.030060,0.267869,0.352024,0.000087,0.469360,0.008222,0.366198,-0.000331,7.868876,-0.098259,-0.040234,3057,,,,,,,,,,,,,,,,,,,,
ADX,crypto,4h,BNB-USD,OOS,2188,0.276336,-0.000164,0.410288,-0.121077,0.236460,0.393893,-0.000594,0.470507,0.094281,0.174305,0.329771,-0.000080,0.397247,-0.002044,0.280179,0.000430,0.625563,-0.074797,-0.011354,1311,-0.000124,-0.001271,0.000945,0.760974,0.225166,2.493165,0.131318,6.755707,-0.780115,0.807947,-0.146240,-0.253352,-0.037321,0.986999,0.145695,-0.013715,-0.156776,0.140645,0.026529,0.503311
ER,crypto,4h,BNB-USD,FULL,2188,0.169542,0.000078,0.516500,-0.080487,0.339386,0.130435,-0.000193,0.723242,-0.053953,0.324742,0.700023,0.000126,0.482710,0.005878,0.321768,0.000272,2.470724,0.010297,-0.073098,4368,-0.000044,-0.001049,0.000860,0.515767,0.304636,3.415925,0.139444,8.393141,-0.267634,0.529801,0.024185,-0.029508,0.077494,-0.419523,0.635762,-0.022152,-0.106885,0.065687,-0.940426,0.827815
ER,crypto,4h,BNB-USD,IS,2188,0.192358,0.000511,0.527835,-0.070890,0.339177,0.114295,0.000010,0.817488,-0.113251,0.368912,0.693347,0.000206,0.517394,0.003552,0.315838,0.000501,1.645149,0.038206,-0.095622,3057,,,,,,,,,,,,,,,,,,,,
ER,crypto,4h,BNB-USD,OOS,2188,0.116794,-0.001574,0.462649,-0.163846,0.340731,0.167939,-0.000514,0.541923,0.165976,0.249993,0.715267,-0.000050,0.393985,0.014719,0.338055,-0.001060,6.153092,-0.042693,-0.013654,1311,-0.000198,-0.002529,0.001527,-0.698864,0.768212,2.777249,0.234486,9.097465,1.262142,0.125828,0.031831,-0.061176,0.145138,-1.134266,0.867550,-0.016489,-0.182982,0.121669,0.029915,0.483444
HMM,crypto,4h,BNB-USD,FULL,2188,0.356798,0.000179,0.441309,0.195531,,0.247987,-0.000166,0.771662,-0.007683,0.173792,0.395215,0.000136,0.387669,-0.032296,0.169673,0.000344,0.095539,0.004118,0.126220,4368,0.000165,-0.000603,0.000872,0.393282,0.350993,1.905529,0.207955,5.457920,-0.906432,0.973510,-0.153177,-0.555675,0.145583,0.699973,0.278195,0.087902,-0.042566,0.204136,0.449228,0.324503
HMM,crypto,4h,BNB-USD,IS,2188,0.332016,0.000480,0.449052,0.253120,,0.297101,0.000166,0.785987,-0.031822,0.154834,0.370883,0.000090,0.418866,-0.019319,0.169673,0.000314,1.264187,-0.014839,0.129968,3057,,,,,,,,,,,,,,,,,,,,
HMM,crypto,4h,BNB-USD,OOS,2188,0.414504,-0.000382,0.425322,0.080587,,0.133588,-0.001864,0.690115,0.140350,0.309666,0.451908,0.000225,0.320005,-0.068249,,0.001483,5.424059,,0.178718,1311,0.000162,-0.001069,0.001659,1.592819,0.086093,1.763507,0.171272,4.974165,2.039473,0.052980,,,,,,0.049501,-0.191501,0.322497,0.856634,0.225166
ADX,crypto,4h,BTC-USD,FULL,2188,0.340263,-0.000082,0.419624,-0.008034,0.251421,0.378609,0.000062,0.521924,-0.006589,0.157371,0.281127,0.000207,0.432385,-0.049280,0.417754,-0.000144,2.735260,-0.213358,0.041969,4372,-0.000060,-0.000655,0.000489,-0.238431,0.562914,2.253257,0.165976,6.419832,0.234367,0.278146,-0.149136,-0.212223,-0.080267,-1.681920,0.960265,0.007753,-0.067042,0.087169,0.715863,0.231788
ADX,crypto,4h,BTC-USD,IS,2188,0.360623,0.000059,0.425510,0.000992,0.242039,0.364932,0.000189,0.539643,-0.025872,0.151271,0.274445,0.000298,0.428837,-0.063245,0.423808,-0.000131,1.574293,-0.227153,0.050806,3060,,,,,,,,,,,,,,,,,,,,
