classifier,group,timeframe,instrument,window,bars_per_year,share_bull,drift_bull,vol_bull,ac1_bull,eff_bull,share_bear,drift_bear,vol_bear,ac1_bear,eff_bear,share_chop,drift_chop,vol_chop,ac1_chop,eff_chop,s1,kw_h,d_eff,d_ac1,n_bars,s1_null_mean,s1_null_p5,s1_null_p95,s1_z,s1_p,kw_h_null_mean,kw_h_null_p5,kw_h_null_p95,kw_h_z,kw_h_p,d_eff_null_mean,d_eff_null_p5,d_eff_null_p95,d_eff_z,d_eff_p,d_ac1_null_mean,d_ac1_null_p5,d_ac1_null_p95,d_ac1_z,d_ac1_p
HMM,futures,1h,HG=F,IS,5717,0.498956,0.000054,0.272495,-0.010346,0.212148,0.067878,-0.000014,0.548229,-0.043840,0.317016,0.433166,0.000028,0.301946,0.005772,0.236304,0.000068,0.242895,0.028277,-0.032865,9597,,,,,,,,,,,,,,,,,,,,
HMM,futures,1h,HG=F,OOS,5717,0.303428,0.000012,0.231765,0.024112,0.270210,0.140530,0.000106,0.494973,-0.111342,0.221289,0.556042,0.000082,0.279373,-0.074959,0.173191,-0.000094,1.417693,0.072558,0.031344,4114,0.000047,-0.000408,0.000598,-0.474555,0.668874,2.082522,0.134559,5.087065,-0.328035,0.576159,0.035194,-0.026821,0.103008,0.956794,0.185430,-0.016368,-0.100559,0.059666,0.945167,0.178808
ADX,futures,1h,NG=F,FULL,5622,0.366071,0.000095,0.849022,-0.141907,0.233716,0.363542,0.000134,0.749957,-0.071867,0.262538,0.270387,0.000076,0.718834,-0.000661,0.406507,-0.000039,0.462524,-0.158380,-0.106226,13483,-0.000065,-0.000374,0.000237,0.138149,0.456954,1.681300,0.094155,4.895474,-0.699340,0.741722,-0.139382,-0.171548,-0.105363,-0.884438,0.834437,-0.066826,-0.138807,0.013439,-0.819125,0.768212
ADX,futures,1h,NG=F,IS,5622,0.374880,0.000152,0.841118,-0.168911,0.242037,0.362640,0.000154,0.720319,-0.081661,0.262173,0.262480,0.000065,0.675968,-0.029263,0.397964,-0.000002,1.891937,-0.145859,-0.096023,9438,,,,,,,,,,,,,,,,,,,,
ADX,futures,1h,NG=F,OOS,5622,0.345450,-0.000057,0.868672,-0.056155,0.219667,0.365727,0.000087,0.814125,-0.059348,0.263328,0.288823,0.000101,0.801842,0.046107,0.423283,-0.000145,1.173129,-0.181785,-0.103858,4045,-0.000091,-0.000702,0.000398,-0.156217,0.622517,2.076241,0.086593,6.985528,-0.400686,0.496689,-0.136167,-0.204844,-0.068841,-1.095178,0.827815,-0.058988,-0.197631,0.075513,-0.549240,0.741722
ER,futures,1h,NG=F,FULL,5622,0.194102,0.000086,0.757838,-0.018596,0.360254,0.208661,0.000279,0.667334,-0.012669,0.372351,0.597237,0.000044,0.821732,-0.105771,0.343066,-0.000193,2.964215,0.023236,0.090138,13483,-0.000268,-0.000712,0.000245,0.249923,0.437086,2.349380,0.103323,7.941717,0.237454,0.264901,0.026347,-0.002261,0.056994,-0.168875,0.556291,0.035288,-0.023635,0.097793,1.396962,0.079470
ER,futures,1h,NG=F,IS,5622,0.201232,0.000068,0.640855,-0.072901,0.369679,0.214399,0.000225,0.695375,-0.000802,0.375983,0.584369,0.000109,0.813360,-0.103146,0.350061,-0.000157,2.748790,0.022770,0.066295,9438,,,,,,,,,,,,,,,,,,,,
ER,futures,1h,NG=F,OOS,5622,0.177300,0.000123,1.003510,0.043779,0.341091,0.195351,0.000417,0.589516,-0.042901,0.364162,0.627349,-0.000098,0.839507,-0.112956,0.327064,-0.000294,0.905152,0.025563,0.113396,4045,-0.000326,-0.001203,0.000571,0.058060,0.463576,2.139730,0.121952,6.904408,-0.552845,0.622517,0.022943,-0.028896,0.072983,0.079584,0.476821,0.021877,-0.094045,0.133794,1.259518,0.139073
HMM,futures,1h,NG=F,FULL,5622,0.112985,0.000578,1.604545,-0.147159,0.273533,0.523399,-0.000020,0.505314,0.008809,0.222566,0.363616,0.000127,0.709436,-0.028761,0.280609,0.000598,0.016615,-0.032559,-0.040413,13483,0.000791,0.000089,0.001525,-0.402248,0.635762,2.629824,0.122065,7.528990,-1.070514,0.993377,-0.000866,-0.039272,0.037367,-1.414906,0.920530,-0.047870,-0.101286,-0.000146,0.233999,0.403974
HMM,futures,1h,NG=F,IS,5622,0.105023,0.000936,1.559267,-0.184179,0.282747,0.523203,-0.000113,0.512272,0.015025,0.238963,0.371774,0.000233,0.695243,-0.023915,0.280101,0.001049,1.204973,-0.019246,-0.060662,9438,,,,,,,,,,,,,,,,,,,,
HMM,futures,1h,NG=F,OOS,5622,0.131553,-0.000087,1.684352,-0.090704,0.251420,0.523986,0.000196,0.488367,-0.008899,0.182528,0.344461,-0.000145,0.743591,-0.041881,0.279635,-0.000284,2.666188,-0.062661,-0.007921,4045,0.000786,-0.000419,0.001917,-1.422545,0.933775,2.476113,0.142479,7.232475,0.075453,0.350993,-0.001588,-0.069320,0.065046,-1.487890,0.920530,-0.050718,-0.149287,0.034035,0.715531,0.271523
ADX,futures,1h,NQ=F,FULL,5704,0.333162,0.000020,0.184391,-0.061267,0.279116,0.379616,0.000054,0.231889,0.029895,0.236720,0.287222,0.000049,0.215087,0.066238,0.385366,-0.000034,0.018566,-0.127448,-0.081923,13691,0.000021,-0.000071,0.000125,-0.965081,0.814570,2.183124,0.092801,6.636141,-1.087061,0.993377,-0.126504,-0.171617,-0.090148,-0.037874,0.529801,-0.016606,-0.078904,0.044019,-1.809921,0.953642
ADX,futures,1h,NQ=F,IS,5704,0.336373,0.000020,0.179490,-0.058384,0.281288,0.385954,0.000060,0.233223,0.015453,0.243850,0.277673,0.000031,0.221036,0.080851,0.387369,-0.000040,1.104007,-0.124799,-0.102316,9583,,,,,,,,,,,,,,,,,,,,
ADX,futures,1h,NQ=F,OOS,5704,0.325785,0.000019,0.195644,-0.067797,0.273703,0.364743,0.000040,0.228623,0.067071,0.222212,0.309472,0.000086,0.202098,0.036993,0.381326,-0.000021,1.403427,-0.133369,-0.037356,4108,0.000014,-0.000166,0.000194,-0.320531,0.662252,1.892613,0.090484,5.355926,-0.275212,0.483444,-0.126796,-0.196535,-0.059763,-0.158534,0.615894,-0.014789,-0.101809,0.098151,-0.368609,0.629139
ER,futures,1h,NQ=F,FULL,5704,0.247110,0.000044,0.159828,0.028660,0.358753,0.143160,0.000015,0.271060,0.013713,0.340042,0.609729,0.000044,0.215068,-0.007261,0.320567,0.000029,0.708386,0.028830,0.028448,13691,0.000019,-0.000122,0.000162,0.117543,0.476821,2.134328,0.085426,5.986290,-0.694978,0.735099,0.023920,-0.006996,0.052553,0.262030,0.417219,-0.002794,-0.063065,0.051019,0.869561,0.218543
ER,futures,1h,NQ=F,IS,5704,0.247019,0.000019,0.159903,0.036973,0.343428,0.144217,-0.000006,0.277098,0.001829,0.340474,0.608764,0.000055,0.214508,0.011691,0.333802,0.000025,0.158654,0.008148,0.007710,9583,,,,,,,,,,,,,,,,,,,,
ER,futures,1h,NQ=F,OOS,5704,0.247383,0.000105,0.159561,0.007810,0.397067,0.140492,0.000069,0.256193,0.052551,0.339261,0.612126,0.000020,0.216348,-0.045828,0.290738,0.000036,0.900295,0.077426,0.076008,4108,0.000009,-0.000237,0.000244,0.175101,0.417219,2.206283,0.104499,7.026580,-0.498390,0.596026,0.022651,-0.028196,0.076875,1.608246,0.059603,-0.001944,-0.071122,0.078715,1.491618,0.072848
HMM,futures,1h,NQ=F,FULL,5704,0.465911,0.000027,0.135092,0.010811,0.222702,0.121653,0.000192,0.397822,-0.025798,0.250777,0.412436,0.000010,0.204566,0.002529,0.250610,-0.000165,4.876887,-0.013870,-0.010023,13691,-0.000084,-0.000298,0.000111,-0.638925,0.754967,2.653496,0.148259,8.753224,0.809642,0.165563,0.011871,-0.022208,0.045434,-1.221305,0.867550,-0.002695,-0.041534,0.036408,-0.299582,0.649007
HMM,futures,1h,NQ=F,IS,5704,0.514014,0.000029,0.131336,0.010427,0.200162,0.117653,0.000092,0.426866,-0.007458,0.289985,0.368333,0.000031,0.202454,-0.008596,0.257293,-0.000064,1.600373,-0.012219,0.010081,9583,,,,,,,,,,,,,,,,,,,,
HMM,futures,1h,NQ=F,OOS,5704,0.354030,0.000020,0.147079,0.011920,0.267784,0.130996,0.000401,0.328345,-0.096646,0.190004,0.514974,-0.000024,0.208037,0.019658,0.244917,-0.000380,4.992923,-0.016023,-0.062021,4108,-0.000085,-0.000456,0.000348,-1.214548,0.900662,2.247033,0.128393,7.740931,1.079504,0.119205,0.010483,-0.042479,0.070830,-0.789307,0.781457,-0.003828,-0.071367,0.070419,-1.280461,0.887417
ADX,futures,1h,SI=F,FULL,5718,0.287616,0.000108,0.411046,-0.073219,0.248489,0.422866,0.000101,0.509411,-0.065205,0.237963,0.289518,0.000056,0.459365,-0.018030,0.384623,0.000006,0.031970,-0.141397,-0.051182,13714,0.000002,-0.000186,0.000231,0.032325,0.483444,2.062697,0.188308,5.400366,-1.084973,0.993377,-0.120765,-0.156592,-0.089146,-0.937778,0.801325,-0.031274,-0.101171,0.030729,-0.498353,0.715232
ADX,futures,1h,SI=F,IS,5718,0.279301,0.000030,0.287455,-0.010555,0.241478,0.418899,0.000109,0.298425,-0.027221,0.242373,0.301800,0.000123,0.308627,-0.054728,0.361607,-0.000079,0.934629,-0.119682,0.035840,9599,,,,,,,,,,,,,,,,,,,,
ADX,futures,1h,SI=F,OOS,5718,0.307000,0.000272,0.592589,-0.103853,0.263189,0.432183,0.000083,0.802017,-0.076580,0.229144,0.260817,-0.000135,0.722066,0.000865,0.432441,0.000189,0.474496,-0.186274,-0.091081,4115,0.000000,-0.000352,0.000365,0.840760,0.218543,1.821840,0.082726,5.521074,-0.816051,0.768212,-0.126260,-0.195231,-0.068618,-1.493729,0.933775,-0.033681,-0.143516,0.075394,-0.844426,0.827815
ER,futures,1h,SI=F,FULL,5718,0.206091,0.000205,0.419452,-0.056494,0.340635,0.133718,-0.000094,0.657416,-0.075063,0.333806,0.660191,0.000092,0.435394,-0.016184,0.322776,0.000299,0.130008,0.014445,-0.049595,13714,-0.000002,-0.000312,0.000297,1.591098,0.059603,2.551384,0.076614,7.957639,-0.905418,0.920530,0.029536,0.003928,0.055219,-0.968322,0.874172,-0.049673,-0.114193,0.013834,0.001851,0.503311
ER,futures,1h,SI=F,IS,5718,0.206619,0.000100,0.298721,0.014957,0.353690,0.129046,-0.000024,0.339498,0.064086,0.328874,0.664335,0.000112,0.289971,-0.067654,0.319769,0.000124,0.276250,0.021513,0.107176,9599,,,,,,,,,,,,,,,,,,,,
ER,futures,1h,SI=F,OOS,5718,0.204910,0.000453,0.615619,-0.098367,0.310832,0.144628,-0.000240,1.044218,-0.104228,0.343281,0.650462,0.000041,0.663444,0.008664,0.330655,0.000693,0.945266,-0.003599,-0.109961,4115,0.000039,-0.000607,0.000734,1.669973,0.066225,2.176592,0.190438,7.874754,-0.563677,0.629139,0.032310,-0.021277,0.075578,-1.198788,0.900662,-0.041674,-0.155214,0.070508,-0.947425,0.841060
HMM,futures,1h,SI=F,FULL,5718,0.309574,0.000072,0.211499,0.008315,0.403121,0.493829,0.000050,0.610687,-0.046789,0.196952,0.196597,0.000219,0.328422,0.019347,0.437232,0.000022,4.375660,-0.137196,-0.038584,13714,0.000004,-0.000158,0.000165,0.183801,0.423841,4.257171,0.314154,11.286239,0.033460,0.384106,-0.088385,-0.170892,0.003069,-0.958066,0.841060,-0.025095,-0.080160,0.025615,-0.387691,0.615894
HMM,futures,1h,SI=F,IS,5718,0.425976,0.000061,0.208352,0.012299,0.403121,0.312278,0.000035,0.374013,-0.035106,0.208902,0.261746,0.000209,0.321045,0.009428,0.447555,0.000025,4.554619,-0.141543,-0.020831,9599,,,,,,,,,,,,,,,,,,,,
HMM,futures,1h,SI=F,OOS,5718,0.038649,0.000370,0.279480,-0.135234,,0.916383,0.000059,0.746814,-0.048568,0.128506,0.044968,0.000352,0.415542,0.098332,0.354651,0.000310,0.358602,-0.226145,-0.190233,4115,0.000008,-0.000261,0.000301,1.633423,0.052980,2.680421,0.114282,8.097923,-0.882269,0.867550,-0.080556,-0.242239,0.067736,-1.476045,0.940397,-0.019599,-0.118069,0.062933,-2.755578,1.000000
ADX,futures,1h,YM=F,FULL,5700,0.351508,0.000037,0.134528,-0.048753,0.271574,0.362956,0.000016,0.159658,0.015340,0.232450,0.285536,0.000021,0.158189,-0.000843,0.363887,0.000021,1.811878,-0.111875,-0.015863,13670,0.000020,-0.000040,0.000088,0.031011,0.483444,2.144315,0.121346,6.481814,-0.146145,0.417219,-0.136740,-0.173601,-0.096139,1.035688,0.152318,-0.019086,-0.073869,0.044357,0.092820,0.410596
ADX,futures,1h,YM=F,IS,5700,0.335503,0.000044,0.136265,-0.056740,0.287193,0.376128,0.000011,0.160430,0.018137,0.248377,0.288369,0.000005,0.160334,0.020357,0.388525,0.000033,2.809596,-0.120740,-0.039659,9569,,,,,,,,,,,,,,,,,,,,
ADX,futures,1h,YM=F,OOS,5700,0.388780,0.000024,0.130971,-0.032141,0.241574,0.332195,0.000028,0.157666,0.007724,0.204203,0.279024,0.000059,0.152876,-0.041189,0.304466,-0.000004,0.027889,-0.081577,0.028980,4101,0.000019,-0.000101,0.000135,-0.312175,0.662252,1.867612,0.101754,5.320671,-0.896845,0.973510,-0.133321,-0.202973,-0.071592,1.304793,0.092715,-0.010959,-0.118606,0.089102,0.632791,0.271523
ER,futures,1h,YM=F,FULL,5700,0.224266,0.000034,0.131470,-0.015492,0.380886,0.163016,0.000028,0.179099,0.053731,0.342801,0.612719,0.000020,0.149146,0.022555,0.336434,0.000006,0.281642,0.025410,-0.003435,13670,0.000005,-0.000083,0.000103,0.026533,0.503311,2.056527,0.125847,6.266873,-0.832940,0.860927,0.022023,-0.007544,0.054776,0.179103,0.437086,-0.010008,-0.073612,0.053694,0.172980,0.410596
ER,futures,1h,YM=F,IS,5700,0.220989,0.000007,0.134828,-0.040222,0.367485,0.160138,0.000032,0.191271,0.039634,0.345437,0.618873,0.000021,0.147219,0.048662,0.337338,-0.000024,0.098244,0.019123,-0.048956,9569,,,,,,,,,,,,,,,,,,,,
ER,futures,1h,YM=F,OOS,5700,0.231951,0.000095,0.123573,0.044272,0.410468,0.169512,0.000021,0.149010,0.104732,0.342676,0.598537,0.000016,0.153687,-0.029510,0.334213,0.000074,1.969438,0.042359,0.104012,4101,0.000002,-0.000139,0.000160,0.760394,0.198675,2.059577,0.098724,5.285612,-0.039830,0.384106,0.024730,-0.032740,0.076750,0.516636,0.324503,-0.005256,-0.098848,0.098432,1.771983,0.059603
HMM,futures,1h,YM=F,FULL,5700,0.446333,0.000015,0.129054,-0.007962,0.269805,0.168217,0.000066,0.260417,-0.019192,0.311295,0.385449,0.000017,0.100478,0.009213,0.253355,-0.000052,1.157257,0.037194,-0.022790,13670,-0.000038,-0.000148,0.000073,-0.210261,0.576159,2.583103,0.115617,8.208759,-0.523041,0.569536,0.003583,-0.026527,0.034637,1.812720,0.046358,-0.024361,-0.071759,0.009659,0.066168,0.490066
HMM,futures,1h,YM=F,IS,5700,0.426058,0.000020,0.127580,-0.014263,0.267240,0.153121,0.000061,0.283118,-0.009733,0.322807,0.420821,0.000004,0.098453,-0.008209,0.233637,-0.000041,2.690900,0.061386,-0.003790,9569,,,,,,,,,,,,,,,,,,,,
HMM,futures,1h,YM=F,OOS,5700,0.493659,0.000003,0.131963,0.003519,0.275045,0.203415,0.000075,0.214913,-0.047869,0.291370,0.302927,0.000059,0.106744,0.057514,0.313276,-0.000072,3.146295,-0.030069,-0.079689,4101,-0.000028,-0.000232,0.000198,-0.332214,0.642384,1.838265,0.099157,5.869315,0.618205,0.192053,0.007780,-0.054674,0.069732,-1.033293,0.854305,-0.019131,-0.095435,0.047692,-1.348648,0.880795
ADX,futures,1h,ZB=F,FULL,5686,0.375828,-0.000019,0.101008,-0.033044,0.238035,0.348610,-0.000006,0.106809,-0.003783,0.261886,0.275563,0.000022,0.099249,-0.001540,0.389184,-0.000013,8.234682,-0.139223,-0.016874,13637,-0.000013,-0.000065,0.000031,0.011180,0.516556,6.022341,0.718101,15.518104,0.472436,0.271523,-0.138818,-0.176671,-0.097304,-0.017809,0.509934,-0.000594,-0.047774,0.037836,-0.592549,0.728477
ADX,futures,1h,ZB=F,IS,5686,0.368764,0.000004,0.108911,-0.025830,0.242467,0.349400,-0.000021,0.114683,-0.006204,0.246869,0.281835,0.000026,0.105037,-0.001785,0.378277,0.000025,2.941169,-0.133609,-0.014232,9545,,,,,,,,,,,,,,,,,,,,
ADX,futures,1h,ZB=F,OOS,5686,0.392325,-0.000070,0.080990,-0.066941,0.227354,0.346859,0.000027,0.085549,0.005791,0.290397,0.260816,0.000010,0.083009,-0.000369,0.414433,-0.000097,10.609980,-0.155558,-0.030206,4092,-0.000016,-0.000104,0.000066,-1.536665,0.940397,3.367556,0.433608,9.549841,2.485883,0.033113,-0.134733,-0.208434,-0.063256,-0.472727,0.688742,-0.000266,-0.085111,0.072997,-0.653375,0.781457
ER,futures,1h,ZB=F,FULL,5686,0.180890,-0.000004,0.099286,-0.050297,0.358613,0.175969,0.000006,0.107482,-0.007698,0.355417,0.643140,-0.000006,0.102123,-0.026309,0.332323,-0.000010,4.152356,0.024693,-0.002689,13637,-0.000024,-0.000086,0.000041,0.362281,0.344371,6.192859,1.184620,14.814728,-0.470033,0.629139,0.026837,-0.002879,0.054445,-0.117349,0.569536,0.007055,-0.039844,0.045432,-0.389841,0.668874
ER,futures,1h,ZB=F,IS,5686,0.187421,0.000009,0.107718,-0.052034,0.375714,0.175451,0.000002,0.114141,-0.024332,0.355872,0.637127,-0.000001,0.109299,-0.021426,0.333369,0.000007,2.271111,0.032425,-0.016757,9545,,,,,,,,,,,,,,,,,,,,
ER,futures,1h,ZB=F,OOS,5686,0.165485,-0.000038,0.072529,-0.049568,0.314494,0.177218,0.000014,0.090280,0.058332,0.354280,0.657297,-0.000018,0.083692,-0.045253,0.329794,-0.000052,3.253742,0.004593,0.049635,4092,-0.000023,-0.000140,0.000102,-0.412364,0.675497,3.272568,0.354771,9.537617,-0.006248,0.364238,0.025855,-0.029565,0.080380,-0.644863,0.774834,0.005983,-0.074407,0.079773,0.951644,0.178808
HMM,futures,1h,ZB=F,FULL,5686,0.323663,0.000039,0.096052,-0.010474,0.249889,0.137045,-0.000067,0.148790,-0.027448,0.265942,0.539292,-0.000013,0.091314,-0.017775,0.240484,0.000106,5.586301,0.017431,-0.001186,13637,0.000056,-0.000014,0.000130,1.166235,0.152318,3.786116,0.411220,9.698280,0.538947,0.271523,0.041384,0.007120,0.077298,-1.194637,0.894040,-0.000846,-0.035931,0.030991,-0.015948,0.529801
HMM,futures,1h,ZB=F,IS,5686,0.369803,0.000047,0.098209,-0.008164,0.244034,0.168207,-0.000078,0.153279,-0.025713,0.248652,0.461991,-0.000006,0.099159,-0.014888,0.271177,0.000125,7.344215,-0.024834,-0.002051,9545,,,,,,,,,,,,,,,,,,,,
HMM,futures,1h,ZB=F,OOS,5686,0.216084,0.000006,0.086940,-0.022141,0.274776,0.064532,0.000003,0.117801,-0.050244,0.355273,0.719384,-0.000023,0.078122,-0.024094,0.162773,0.000003,0.267570,0.152252,-0.012099,4092,0.000067,-0.000069,0.000201,-0.768024,0.781457,2.612526,0.288024,7.561467,-1.000940,0.953642,0.046826,-0.009202,0.104761,2.901851,0.013245,0.001228,-0.061021,0.070380,-0.325592,0.609272
ADX,futures,1h,ZN=F,FULL,5687,0.372536,-0.000002,0.058626,-0.090960,0.242589,0.346499,0.000007,0.052830,-0.062710,0.230623,0.280965,-0.000006,0.055219,0.017701,0.396376,-0.000008,4.924946,-0.159770,-0.094536,13639,-0.000008,-0.000031,0.000012,-0.002792,0.543046,5.450081,0.796186,12.825837,-0.136619,0.476821,-0.141193,-0.178560,-0.104424,-0.815365,0.814570,-0.039178,-0.093272,0.007500,-1.857625,0.947020
ADX,futures,1h,ZN=F,IS,5687,0.371107,0.000007,0.063822,-0.101822,0.253109,0.341961,0.000013,0.056862,-0.076612,0.221409,0.286932,-0.000010,0.058685,0.029625,0.407185,-0.000006,2.324295,-0.169926,-0.118842,9547,,,,,,,,,,,,,,,,,,,,
ADX,futures,1h,ZN=F,OOS,5687,0.375703,-0.000021,0.044446,-0.038015,0.227985,0.357125,-0.000008,0.042491,-0.009007,0.252124,0.267172,0.000003,0.045427,-0.030020,0.371533,-0.000014,3.793438,-0.131478,0.006509,4092,-0.000011,-0.000051,0.000026,-0.120831,0.549669,3.013817,0.303817,8.780537,0.271484,0.284768,-0.143485,-0.206026,-0.068173,0.277889,0.384106,-0.038962,-0.123704,0.043807,0.867770,0.198675
ER,futures,1h,ZN=F,FULL,5687,0.180864,-0.000013,0.056417,-0.039585,0.356547,0.187032,0.000003,0.052492,-0.042583,0.379904,0.632105,0.000002,0.056426,-0.039865,0.331457,-0.000015,10.570727,0.036769,-0.001219,13639,-0.000024,-0.000067,0.000008,0.371680,0.410596,7.449582,1.595997,15.778978,0.614741,0.251656,0.026418,0.000642,0.053871,0.619276,0.298013,-0.002385,-0.056387,0.049342,0.037061,0.490066
ER,futures,1h,ZN=F,IS,5687,0.192841,-0.000010,0.060907,-0.034175,0.368465,0.181188,0.000013,0.056229,-0.054113,0.395471,0.625971,0.000006,0.060819,-0.045904,0.347815,-0.000023,7.943399,0.034153,0.001760,9547,,,,,,,,,,,,,,,,,,,,
ER,futures,1h,ZN=F,OOS,5687,0.152774,-0.000022,0.040468,-0.076744,0.341206,0.200684,-0.000018,0.043561,-0.005870,0.343819,0.646541,-0.000005,0.044970,-0.015598,0.290743,-0.000004,2.721727,0.051770,-0.025709,4092,-0.000026,-0.000083,0.000032,0.596954,0.317881,3.617639,0.312425,9.265706,-0.293261,0.516556,0.027579,-0.023239,0.084344,0.717939,0.238411,-0.009038,-0.092912,0.096942,-0.284251,0.562914
HMM,futures,1h,ZN=F,FULL,5687,0.341166,0.000006,0.054339,-0.005454,0.224727,0.153473,-0.000010,0.080119,-0.131563,0.234976,0.505361,-0.000002,0.046889,-0.021166,0.254725,0.000016,2.890978,-0.024873,-0.047342,13639,0.000017,-0.000015,0.000049,-0.050366,0.509934,3.517984,0.249637,10.022414,-0.199446,0.456954,-0.001178,-0.028848,0.026239,-1.362344,0.900662,-0.040533,-0.087628,-0.002829,-0.257629,0.642384
HMM,futures,1h,ZN=F,IS,5687,0.373189,0.000014,0.055623,-0.004450,0.221949,0.184128,-0.000015,0.083614,-0.137527,0.239534,0.442683,0.000003,0.051223,-0.015604,0.257473,0.000029,3.318457,-0.026732,-0.055385,9547,,,,,,,,,,,,,,,,,,,,
HMM,futures,1h,ZN=F,OOS,5687,0.266439,-0.000019,0.049897,-0.012351,0.254138,0.082132,0.000019,0.058536,-0.069917,0.215769,0.651430,-0.000010,0.039054,-0.033584,0.248025,-0.000038,2.582833,-0.013071,-0.007550,4092,0.000016,-0.000044,0.000069,-1.504773,0.920530,2.322162,0.123069,6.640738,0.107583,0.324503,-0.003040,-0.049209,0.054085,-0.328564,0.602649,-0.043282,-0.112766,0.031646,0.822316,0.225166
ADX,futures,4h,CL=F,FULL,1534,0.300688,0.000048,0.538276,0.041365,0.230307,0.358459,0.000063,0.413276,-0.001921,0.273588,0.340853,0.000009,0.352165,0.005836,0.371901,-0.000015,1.116462,-0.119954,0.013887,3678,-0.000024,-0.000731,0.000580,0.022195,0.496689,1.787222,0.125703,5.261363,-0.413647,0.536424,-0.122810,-0.179197,-0.055613,0.072403,0.423841,-0.008482,-0.111122,0.093729,0.354227,0.350993
ADX,futures,4h,CL=F,IS,1534,0.296721,-0.000228,0.329769,-0.039334,0.253404,0.369024,-0.000038,0.352339,0.013977,0.233914,0.334255,-0.000023,0.266456,0.034067,0.405741,-0.000190,1.793099,-0.162081,-0.046745,2574,,,,,,,,,,,,,,,,,,,,
ADX,futures,4h,CL=F,OOS,1534,0.310063,0.000655,0.828472,0.065868,0.174601,0.333636,0.000318,0.538082,-0.020401,0.370905,0.356301,0.000080,0.488002,-0.011699,0.270382,0.000336,0.818057,0.002370,0.034432,1104,-0.000185,-0.001731,0.001311,0.563372,0.304636,1.878785,0.055166,6.363205,-0.534364,0.635762,-0.119834,-0.261222,0.010566,1.570746,0.066225,-0.031316,-0.200449,0.123169,0.653088,0.251656
ER,futures,4h,CL=F,FULL,1534,0.187859,-0.000327,0.604991,0.147856,0.357160,0.168444,0.000082,0.444037,-0.109166,0.421142,0.643697,0.000136,0.369044,-0.012417,0.395835,-0.000409,1.404112,-0.006683,0.031762,3678,-0.000077,-0.001068,0.000821,-0.584418,0.715232,2.107162,0.066584,6.685218,-0.330110,0.516556,0.014436,-0.044828,0.069467,-0.593813,0.721854,-0.024467,-0.143745,0.100240,0.765141,0.251656
ER,futures,4h,CL=F,IS,1534,0.182530,0.000079,0.303335,-0.078573,0.394696,0.179397,-0.000094,0.360400,-0.116338,0.390557,0.638073,-0.000136,0.309564,0.045611,0.403306,0.000172,2.463106,-0.010679,-0.143067,2574,,,,,,,,,,,,,,,,,,,,
ER,futures,4h,CL=F,OOS,1534,0.200363,-0.001181,0.970631,0.196928,0.274045,0.142339,0.000592,0.627817,-0.096974,0.506782,0.657298,0.000745,0.475460,-0.066402,0.376119,-0.001774,0.565815,0.014295,0.116379,1104,-0.000185,-0.001918,0.001716,-1.328132,0.927152,1.981479,0.121259,5.885772,-0.675532,0.761589,0.014502,-0.086126,0.114229,-0.003167,0.490066,-0.046916,-0.247534,0.131704,1.465901,0.086093
HMM,futures,4h,CL=F,FULL,1534,0.370796,0.000100,0.239674,0.040773,0.257632,0.281925,0.000068,0.693121,0.031812,0.236197,0.347279,-0.000047,0.307975,-0.025357,0.260182,0.000032,2.126116,-0.013267,0.061650,3678,0.000046,-0.000694,0.000659,-0.033112,0.569536,2.531996,0.165846,7.286370,-0.169266,0.437086,-0.041452,-0.103423,0.022371,0.802658,0.231788,0.028383,-0.043381,0.096832,0.745527,0.271523
HMM,futures,4h,CL=F,IS,1534,0.446142,0.000148,0.235830,0.050790,0.269636,0.177047,-0.000265,0.485785,0.031528,0.245951,0.376812,-0.000287,0.302980,-0.039859,0.259203,0.000414,1.342090,-0.001410,0.081017,2574,,,,,,,,,,,,,,,,,,,,
HMM,futures,4h,CL=F,OOS,1534,0.195830,-0.000160,0.259271,-0.007564,0.220270,0.524932,0.000328,0.819143,0.031607,0.203034,0.279238,0.000705,0.321307,0.004940,0.263443,-0.000488,1.542639,-0.051791,0.007081,1104,0.000054,-0.001353,0.001235,-0.687410,0.754967,1.767568,0.081395,5.361064,-0.133904,0.430464,-0.042167,-0.157791,0.069220,-0.135016,0.576159,0.028305,-0.095526,0.137695,-0.283614,0.602649
ADX,futures,4h,ES=F,FULL,1547,0.305533,-0.000063,0.133487,0.031301,0.282098,0.343963,0.000335,0.214327,0.007539,0.296129,0.350504,0.000068,0.131689,0.061718,0.387082,-0.000397,6.976610,-0.097969,-0.042298,3712,-0.000054,-0.000398,0.000236,-1.823306,0.947020,2.227603,0.119399,7.915549,1.745221,0.072848,-0.102834,-0.162997,-0.044743,0.128630,0.456954,-0.010794,-0.104140,0.073804,-0.564412,0.728477
ADX,futures,4h,ES=F,IS,1547,0.310372,-0.000044,0.136092,-0.002558,0.284670,0.358904,0.000253,0.223738,0.049044,0.287205,0.330724,0.000135,0.131483,0.058252,0.365229,-0.000298,1.538759,-0.079292,-0.035009,2598,,,,,,,,,,,,,,,,,,,,
