group,timeframe,instrument,method,family,n_bars,n_segments,flips_py,dur_mean,dur_med,dur_p25,dur_p75,hit,fwd_bar,capture,hit_rem,rem_mean,dur_mean_null,dur_mean_z,dur_mean_p,dur_mean_n5,dur_mean_n95,dur_med_null,dur_med_z,dur_med_p,dur_med_n5,dur_med_n95,hit_null,hit_z,hit_p,hit_n5,hit_n95,fwd_bar_null,fwd_bar_z,fwd_bar_p,fwd_bar_n5,fwd_bar_n95,capture_null,capture_z,capture_p,capture_n5,capture_n95,flips_py_null,flips_py_z,flips_py_p,flips_py_n5,flips_py_n95,beats_null
futures,1d,SI=F,sma50,50-SMA state,1711,124,18.07675,13.69106,5.00000,2.00000,16.00000,0.50351,0.00013,0.01769,0.53787,0.06245,14.84690,-0.49725,0.67532,11.41811,18.99001,4.23300,0.67162,0.29770,3.00000,6.00000,0.50224,0.10160,0.47253,0.48213,0.52287,0.00015,-0.04537,0.53047,-0.00086,0.00110,0.05314,-0.60874,0.73027,-0.04075,0.15145,17.06928,0.39149,0.65634,13.08757,21.61655,False
futures,1d,SI=F,sma10_40,10/40 crossover,1721,60,8.62058,28.72881,19.00000,8.50000,37.00000,0.50524,0.00015,-0.27700,0.37164,0.08215,32.70601,-0.94985,0.84815,26.47392,39.85731,25.40650,-1.52581,0.95704,19.00000,33.00000,0.50520,0.00293,0.50549,0.48573,0.52535,0.00016,-0.00506,0.49650,-0.00085,0.00110,-0.17129,-2.26187,0.99001,-0.24626,-0.09502,7.67882,0.98113,0.82917,6.14025,9.35657,False
futures,1d,SI=F,donch20,Donchian,1738,50,7.08943,35.06122,24.00000,17.00000,40.00000,0.50086,-0.00032,-0.12842,0.44058,0.08317,37.87963,-0.61837,0.71229,31.29091,45.97575,28.79950,-1.13058,0.91908,23.00000,36.50000,0.50413,-0.25962,0.60440,0.48352,0.52562,0.00018,-0.86556,0.80519,-0.00078,0.00113,-0.07993,-1.09237,0.85115,-0.14892,-0.00280,6.60388,0.62214,0.72228,5.35633,7.95295,False
futures,1d,SI=F,donch55,Donchian,1672,21,3.00787,83.15000,54.50000,37.75000,109.00000,0.51049,-0.00018,-0.10713,0.34206,0.02189,101.15334,-0.76885,0.80519,72.64457,142.91364,76.45900,-1.09944,0.94905,54.00000,116.02500,0.50720,0.22818,0.41758,0.48308,0.53100,0.00025,-0.67554,0.74725,-0.00079,0.00134,-0.07350,-0.62829,0.73726,-0.16346,0.01306,2.45439,1.10070,0.88412,1.62417,3.27158,False
futures,1d,SI=F,tsmom20,TS momentum,1740,188,27.02449,9.19251,4.00000,1.00000,13.00000,0.49108,0.00008,0.05115,0.48659,0.01203,10.38321,-1.04215,0.85415,8.63134,12.50636,3.83050,0.21040,0.61139,3.00000,5.00000,0.50131,-0.84291,0.79121,0.48212,0.52159,0.00011,-0.05014,0.50849,-0.00085,0.00107,0.02649,0.45432,0.32468,-0.06220,0.11685,24.29294,1.04170,0.84116,19.81008,28.78245,False
futures,1d,SI=F,tsmom60,TS momentum,1700,108,15.82705,15.78505,5.00000,2.00000,18.50000,0.49971,-0.00041,-0.00568,0.39823,0.04092,19.38891,-0.84358,0.81918,13.51694,27.32283,4.04800,0.72659,0.26374,3.00000,6.50000,0.50592,-0.45567,0.68032,0.48493,0.52832,0.00022,-0.99209,0.84316,-0.00083,0.00128,0.01145,-0.24927,0.58342,-0.10069,0.12206,13.21093,0.94094,0.83516,8.88021,18.05642,False
futures,1d,SI=F,tsmom120,TS momentum,1640,84,12.72622,19.62651,3.00000,1.00000,13.50000,0.52046,0.00044,-0.09730,0.46636,0.04530,29.57246,-0.92867,0.87512,17.67528,46.80194,4.50250,-0.36664,0.91309,2.00000,8.00000,0.50863,0.80268,0.21578,0.48380,0.53329,0.00031,0.20145,0.41459,-0.00078,0.00147,0.00156,-1.09588,0.86613,-0.14650,0.14287,8.84874,1.42182,0.90909,4.75607,13.50109,False
futures,1d,SI=F,swing5,Swing structure,1737,50,7.09351,35.00000,24.00000,14.00000,40.00000,0.49539,-0.00014,-0.14106,0.41732,0.07420,37.96408,-0.60912,0.71129,31.16170,46.91892,28.49150,-0.98313,0.86314,22.00000,37.00000,0.50410,-0.70828,0.76923,0.48405,0.52534,0.00019,-0.59145,0.72527,-0.00071,0.00117,-0.08163,-1.31079,0.89910,-0.15657,-0.00579,6.60064,0.60069,0.74026,5.22344,7.95753,False
futures,1d,YM=F,sma50,50-SMA state,1712,97,14.10846,17.20833,6.00000,1.00000,26.00000,0.52105,0.00016,0.05420,0.54499,0.01237,14.70061,1.10755,0.14486,11.50581,18.73228,4.07650,1.80876,0.07692,3.00000,6.00000,0.50700,1.09991,0.14286,0.48655,0.52807,0.00002,0.52168,0.29171,-0.00043,0.00047,0.04758,0.11146,0.44655,-0.05154,0.14694,17.21943,-1.20077,0.10989,13.23441,21.46915,False
futures,1d,YM=F,sma10_40,10/40 crossover,1722,48,6.86715,35.44681,28.00000,14.00000,48.00000,0.50988,-0.00008,-0.22507,0.35167,-0.00492,33.65562,0.39645,0.30769,27.18379,41.61098,25.36750,0.61826,0.27872,18.50000,32.50000,0.50789,0.15332,0.45455,0.48602,0.52907,0.00008,-0.58777,0.72228,-0.00037,0.00055,-0.16870,-1.14000,0.87213,-0.24567,-0.08566,7.45680,-0.60483,0.25874,5.84778,9.06406,False
