market,dir,signal_date,entry_date,exit_date,entry_px,exit_px,contracts,gross_pnl,net_pnl,pnl_R,mae_R,mfe_R,bars_held,exit_reason,sig_own_i,ent_own_i,N,K
NQ=F,L,2001-11-13,2001-11-14,2002-01-22,1584.25,1511.542347441556,0.12939920438126967,-18.816624786984853,-19.010723593556754,-0.27318210573074775,-0.21104791618389215,0.5717817993528356,45,stop,289,290,50,4
ZC=F,L,2002-01-16,2002-01-17,2002-01-28,214.875,207.49054366292822,0.18708839863317536,-69.07730554396818,-69.35793814191794,-1.019462435706129,-0.8421665911604906,0.12030951302292724,6,stop,341,342,50,4
ES=F,L,2001-11-14,2001-11-15,2002-01-29,1142.5,1110.2509201769349,0.1425656159362083,-22.98804964175614,-23.20189806566045,-0.3345417388789067,-0.2903554931415305,0.37001053993256977,49,stop,290,291,50,4
ZB=F,S,2001-12-06,2001-12-07,2002-02-05,102.67192840576172,104.3331022982517,0.012652662186661496,-21.01827209497731,-21.037251088257303,-0.3034157566327512,-0.3050948357411805,0.6187534781350515,39,stop,303,304,50,4
ZN=F,S,2001-12-07,2001-12-10,2002-02-08,105.5859603881836,107.18409682602434,0.017096758314724174,-27.322952431717525,-27.348597569189614,-0.39536034684981874,-0.44217254916408394,0.46147975548107867,41,stop,303,304,50,4
HG=F,L,2002-02-07,2002-02-08,2002-02-19,0.7355000143051147,0.7125716539298207,0.7426220837773012,-42.56776689874433,-43.68170002441028,-0.6404152019445143,-0.27218935013851014,0.3810630473048325,6,stop,357,358,50,4
NG=F,S,2002-01-03,2002-01-04,2002-02-20,2.318499933242798,2.456169558026142,0.008869001300827536,-12.209920812879167,-12.223224314830409,-0.1772461756994931,-0.16140232519080436,0.6025253470789543,31,stop,332,333,50,4
ES=F,S,2002-01-29,2002-01-30,2002-03-04,1100.25,1146.2925736451837,0.19386419306973723,-44.63003193288741,-44.92082822249201,-0.6652525417222499,-0.47730726354606934,0.38041030026979966,23,stop,340,341,50,4
GC=F,L,2002-02-04,2002-02-05,2002-03-07,290.1,290.0000061035156,0.7827070708128709,-0.7826592981648618,-1.956719904384168,-0.029083335543962075,-0.011633618241468208,2.082417665222333,21,gap_stop,353,354,50,4
NQ=F,S,2002-01-22,2002-01-23,2002-03-08,1508.75,1547.7386778600628,0.1520277774095848,-11.854724078407273,-12.082765744521652,-0.1787158662109725,-0.37214972226895815,0.8016397340718042,32,stop,335,336,50,4
ZN=F,L,2002-02-21,2002-02-22,2002-03-08,107.17974090576172,104.62975252031487,0.022267593815351955,-56.78210560099564,-56.81550699171867,-0.844725738840473,-0.77856118375137,0.1629392761390157,10,stop,353,354,50,4
ZB=F,L,2002-02-21,2002-02-22,2002-03-08,104.45317840576172,100.57157158800419,0.015562778976101707,-60.408588976889924,-60.43193314535407,-0.8984943033810825,-0.8568614921343395,0.15544972199865578,10,stop,354,355,50,4
6E=F,S,2001-11-13,2001-11-14,2002-03-15,0.8794999884605408,0.8860567188632712,0.15480544349150846,-12.687719473111734,-12.919927638348998,-0.1856580061649682,-0.7702460144845862,0.6840450450191298,83,stop,291,292,50,4
ZW=F,S,2002-03-12,2002-03-13,2002-03-18,269.625,284.125,0.11081342259454582,-80.33973138104572,-80.50595151493754,-1.2253573310006707,-0.9171205075452371,0.0,3,gap_stop,390,391,50,4
6B=F,S,2002-01-25,2002-01-28,2002-04-01,1.4042999910354614,1.4353128183484156,0.2513246280099835,-48.71429554978791,-49.09128249180289,-0.7217057637556239,-0.66737335705117,0.09005954193395184,44,stop,254,255,50,4
ZS=F,L,2002-03-07,2002-03-08,2002-04-09,449.875,457.625,0.07300993955622335,28.29135157803655,28.181836668702214,0.43151509996814535,-0.020960901876690998,1.5021979678295216,21,gap_stop,365,366,50,4
CL=F,L,2002-03-01,2002-03-04,2002-04-12,22.440000305175783,24.221767556071768,0.19548376578357216,34.830657195499,34.53743154682364,0.5173635790386679,-0.09077783250526146,1.7306290854325137,28,stop,376,377,50,4
SI=F,L,2002-04-01,2002-04-02,2002-04-15,4.704999809265137,4.440000171661377,0.30382349308067996,-80.51311556188853,-80.96885080150955,-1.2167002045453335,-0.7122158268722988,0.1506615058415079,9,gap_stop,392,393,50,4
ZN=F,S,2002-03-14,2002-03-15,2002-04-18,103.5390625,105.1339872690761,0.022105943815181897,-35.25731733463826,-35.29047625036104,-0.5388425529447061,-0.5089409070365585,0.5458428889619961,23,stop,368,369,50,4
ZB=F,S,2002-03-08,2002-03-11,2002-04-25,100.29692840576172,101.96881895775768,0.015365828489008667,-25.689983474363913,-25.713032217097428,-0.39296178075927257,-0.35590120419269783,0.6568018241009963,32,stop,365,366,50,4
ZW=F,S,2002-04-22,2002-04-23,2002-05-02,264.625,266.625,0.10888117880094363,-10.888117880094363,-11.05143964829578,-0.1709801630598543,-0.09475501647405718,0.6843417856459685,7,gap_stop,418,419,50,4
ZC=F,S,2002-04-12,2002-04-15,2002-05-07,196.625,199.375,0.19963701894007738,-27.45009010426064,-27.749545632670753,-0.43121571583729357,-0.6010650715357959,0.6398434632477827,16,gap_stop,400,401,50,4
NQ=F,S,2002-04-11,2002-04-12,2002-05-15,1331.75,1349.44104441662,0.166987567197253,-5.9083689366198024,-6.1588502874156825,-0.09529079215682922,-0.5593624752446352,0.9675808174555007,23,stop,391,392,50,4
ZC=F,L,2002-05-13,2002-05-14,2002-05-23,209.375,207.875,0.18655090891065282,-13.99131816829896,-14.271144531664941,-0.21846564488769776,-0.124939502795252,1.0530615235599812,7,gap_stop,421,422,50,4
CL=F,L,2002-05-08,2002-05-09,2002-05-28,27.73999954223633,25.328566504944014,0.1614450584129675,-38.93139475646175,-39.1735623440812,-0.6060983471145124,-0.572018454123479,0.4496220750328107,12,stop,423,424,50,4
NG=F,L,2002-03-11,2002-03-12,2002-06-06,3.033500064849853,3.1849465416949294,0.011929701410919168,18.067112484974437,18.049217932858056,0.27521643305205873,-0.5157018738638466,1.5307336654158121,60,stop,377,378,50,4
GC=F,L,2002-04-25,2002-04-26,2002-06-11,308.4999938964844,317.2554954240232,0.5855663490081977,51.26927063216591,50.390921108653615,0.7774907490211022,-0.1806956570327884,1.9695881209239214,31,stop,409,410,50,4
ZS=F,L,2002-05-28,2002-05-29,2002-06-11,497.875,499.625,0.10432853827611356,9.128747099159936,8.972254291745765,0.1374581139864413,-0.22976283587849933,1.3885667037874525,9,gap_stop,421,422,50,4
