level,group,timeframe,strategy,sizing,instrument,period,start,end,n_bars,bars_per_year,ann_ret_gross,ann_vol_gross,sharpe_gross,ann_ret_net,ann_vol_net,sharpe_net,max_dd_net,tstat_net,win_rate_net,profit_factor_net,trades_per_year,turnover_units_per_year,flag
instrument,futures,1h,buyhold,fixed,ES=F,OOS,2025-10-14,2026-07-07,4114,5705.4000,0.1793,0.1547,1.1592,0.1793,0.1547,1.1592,-0.0951,0.9843,0.5296,1.0498,,0.0000,CONSISTENT
instrument,futures,1h,buyhold,fixed,NQ=F,FULL,2024-02-12,2026-07-07,13690,5704.1000,0.2263,0.2121,1.0670,0.2263,0.2121,1.0668,-0.2587,1.6527,0.5267,1.0495,,0.0000,CONSISTENT
instrument,futures,1h,buyhold,fixed,NQ=F,IS,2024-02-12,2025-10-14,9574,5704.1000,0.2157,0.2129,1.0130,0.2156,0.2129,1.0127,-0.2587,1.3120,0.5270,1.0490,,0.0000,CONSISTENT
instrument,futures,1h,buyhold,fixed,NQ=F,OOS,2025-10-14,2026-07-07,4116,5704.1000,0.2511,0.2102,1.1942,0.2511,0.2102,1.1942,-0.1261,1.0144,0.5262,1.0506,,0.0000,CONSISTENT
instrument,futures,1h,buyhold,fixed,YM=F,FULL,2024-02-12,2026-07-07,13686,5702.5000,0.1435,0.1507,0.9523,0.1435,0.1507,0.9520,-0.1828,1.4749,0.5154,1.0456,,0.0000,CONSISTENT
instrument,futures,1h,buyhold,fixed,YM=F,IS,2024-02-12,2025-10-14,9572,5702.5000,0.1181,0.1525,0.7747,0.1181,0.1525,0.7743,-0.1828,1.0032,0.5170,1.0386,,0.0000,CONSISTENT
instrument,futures,1h,buyhold,fixed,YM=F,OOS,2025-10-14,2026-07-07,4114,5702.5000,0.2026,0.1466,1.3826,0.2026,0.1466,1.3826,-0.1083,1.1743,0.5118,1.0607,,0.0000,CONSISTENT
instrument,futures,1h,buyhold,fixed,GC=F,FULL,2024-02-12,2026-07-07,13733,5722.0000,0.3193,0.2193,1.4563,0.3193,0.2193,1.4561,-0.2889,2.2558,0.5218,1.0649,,0.0000,CONSISTENT
instrument,futures,1h,buyhold,fixed,GC=F,IS,2024-02-12,2025-10-14,9623,5722.0000,0.4398,0.1626,2.7044,0.4397,0.1626,2.7041,-0.1060,3.5067,0.5258,1.1140,,0.0000,CONSISTENT
instrument,futures,1h,buyhold,fixed,GC=F,OOS,2025-10-14,2026-07-07,4110,5722.0000,0.0372,0.3142,0.1183,0.0372,0.3142,0.1183,-0.2889,0.1003,0.5125,1.0050,,0.0000,CONSISTENT
instrument,futures,1h,buyhold,fixed,SI=F,FULL,2024-02-12,2026-07-07,13730,5720.8000,0.5192,0.4671,1.1115,0.5191,0.4671,1.1114,-0.5310,1.7218,0.5245,1.0524,,0.0000,CONSISTENT
instrument,futures,1h,buyhold,fixed,SI=F,IS,2024-02-12,2025-10-14,9620,5720.8000,0.5343,0.2957,1.8072,0.5342,0.2957,1.8070,-0.1964,2.3432,0.5260,1.0754,,0.0000,CONSISTENT
instrument,futures,1h,buyhold,fixed,SI=F,OOS,2025-10-14,2026-07-07,4110,5720.8000,0.4838,0.7241,0.6681,0.4838,0.7241,0.6681,-0.5310,0.5663,0.5210,1.0293,,0.0000,CONSISTENT
instrument,futures,1h,buyhold,fixed,CL=F,FULL,2024-02-12,2026-07-07,13513,5630.4000,0.0677,0.4398,0.1540,0.0677,0.4398,0.1539,-0.4230,0.2384,0.5128,1.0073,,0.0000,FRAGILE
instrument,futures,1h,buyhold,fixed,CL=F,IS,2024-02-12,2025-10-14,9407,5630.4000,-0.0990,0.3153,-0.3139,-0.0990,0.3153,-0.3141,-0.3665,-0.4060,0.5108,0.9870,,0.0000,FRAGILE
instrument,futures,1h,buyhold,fixed,CL=F,OOS,2025-10-14,2026-07-07,4106,5630.4000,0.4497,0.6394,0.7033,0.4497,0.6394,0.7033,-0.4230,0.6006,0.5173,1.0348,,0.0000,FRAGILE
instrument,futures,1h,buyhold,fixed,NG=F,FULL,2024-02-12,2026-07-07,13499,5624.5000,0.5524,0.7798,0.7083,0.5523,0.7798,0.7083,-0.5389,1.0973,0.4894,1.0357,,0.0000,CONSISTENT
instrument,futures,1h,buyhold,fixed,NG=F,IS,2024-02-12,2025-10-14,9404,5624.5000,0.6047,0.7580,0.7978,0.6047,0.7580,0.7977,-0.4384,1.0315,0.4895,1.0397,,0.0000,CONSISTENT
instrument,futures,1h,buyhold,fixed,NG=F,OOS,2025-10-14,2026-07-07,4095,5624.5000,0.4321,0.8278,0.5220,0.4321,0.8278,0.5220,-0.5389,0.4454,0.4891,1.0270,,0.0000,CONSISTENT
instrument,futures,1h,buyhold,fixed,HG=F,FULL,2024-02-12,2026-07-07,13727,5719.5000,0.2662,0.3095,0.8602,0.2662,0.3095,0.8601,-0.2669,1.3325,0.5062,1.0397,,0.0000,CONSISTENT
instrument,futures,1h,buyhold,fixed,HG=F,IS,2024-02-12,2025-10-14,9617,5719.5000,0.2488,0.3101,0.8023,0.2487,0.3101,0.8021,-0.2669,1.0401,0.5064,1.0389,,0.0000,CONSISTENT
instrument,futures,1h,buyhold,fixed,HG=F,OOS,2025-10-14,2026-07-07,4110,5719.5000,0.3071,0.3081,0.9966,0.3071,0.3081,0.9966,-0.1886,0.8448,0.5058,1.0411,,0.0000,CONSISTENT
instrument,futures,1h,buyhold,fixed,ZB=F,FULL,2024-02-12,2026-07-07,13653,5688.7000,-0.0240,0.1029,-0.2330,-0.0240,0.1029,-0.2334,-0.1397,-0.3616,0.5011,0.9905,,0.0000,FRAGILE
instrument,futures,1h,buyhold,fixed,ZB=F,IS,2024-02-12,2025-10-14,9549,5688.7000,-0.0030,0.1102,-0.0273,-0.0031,0.1102,-0.0278,-0.1355,-0.0361,0.5043,0.9989,,0.0000,FRAGILE
instrument,futures,1h,buyhold,fixed,ZB=F,OOS,2025-10-14,2026-07-07,4104,5688.7000,-0.0728,0.0833,-0.8731,-0.0728,0.0833,-0.8731,-0.0824,-0.7416,0.4935,0.9666,,0.0000,FRAGILE
instrument,futures,1h,buyhold,fixed,ZN=F,FULL,2024-02-12,2026-07-07,13655,5689.5000,-0.0035,0.0559,-0.0620,-0.0035,0.0559,-0.0627,-0.0731,-0.0972,0.4983,0.9973,,0.0000,FRAGILE
instrument,futures,1h,buyhold,fixed,ZN=F,IS,2024-02-12,2025-10-14,9549,5689.5000,0.0152,0.0603,0.2522,0.0152,0.0603,0.2512,-0.0731,0.3254,0.4993,1.0109,,0.0000,FRAGILE
instrument,futures,1h,buyhold,fixed,ZN=F,OOS,2025-10-14,2026-07-07,4106,5689.5000,-0.0469,0.0440,-1.0661,-0.0469,0.0440,-1.0661,-0.0471,-0.9057,0.4959,0.9587,,0.0000,FRAGILE
portfolio,futures,1h,buyhold,fixed,EW_PORTFOLIO,FULL,2024-02-12,2026-07-07,13766,5735.8000,0.2316,0.1490,1.5546,0.2315,0.1490,1.5543,-0.1216,2.4079,0.5164,1.0694,,0.0000,CONSISTENT
portfolio,futures,1h,buyhold,fixed,EW_PORTFOLIO,IS,2024-02-12,2025-10-14,9636,5735.8000,0.2346,0.1357,1.7295,0.2345,0.1357,1.7290,-0.1216,2.2411,0.5143,1.0767,,0.0000,CONSISTENT
portfolio,futures,1h,buyhold,fixed,EW_PORTFOLIO,OOS,2025-10-14,2026-07-07,4130,5735.8000,0.2245,0.1762,1.2743,0.2245,0.1762,1.2743,-0.0973,1.0813,0.5213,1.0565,,0.0000,CONSISTENT
instrument,futures,4h,buyhold,fixed,ES=F,FULL,2024-02-12,2026-07-07,3712,1546.7000,0.1818,0.1650,1.1017,0.1817,0.1650,1.1014,-0.2084,1.7063,0.5322,1.1001,,0.0000,CONSISTENT
instrument,futures,4h,buyhold,fixed,ES=F,IS,2024-02-12,2025-10-13,2597,1546.7000,0.1833,0.1710,1.0720,0.1832,0.1710,1.0717,-0.2084,1.3887,0.5336,1.1034,,0.0000,CONSISTENT
instrument,futures,4h,buyhold,fixed,ES=F,OOS,2025-10-13,2026-07-07,1115,1546.7000,0.1782,0.1502,1.1864,0.1782,0.1502,1.1864,-0.0951,1.0073,0.5289,1.0930,,0.0000,CONSISTENT
instrument,futures,4h,buyhold,fixed,NQ=F,FULL,2024-02-12,2026-07-07,3709,1545.5000,0.2266,0.2161,1.0485,0.2266,0.2161,1.0483,-0.2524,1.6239,0.5343,1.0916,,0.0000,CONSISTENT
instrument,futures,4h,buyhold,fixed,NQ=F,IS,2024-02-12,2025-10-13,2594,1545.5000,0.2162,0.2182,0.9909,0.2161,0.2182,0.9906,-0.2524,1.2834,0.5373,1.0914,,0.0000,CONSISTENT
instrument,futures,4h,buyhold,fixed,NQ=F,OOS,2025-10-13,2026-07-07,1115,1545.5000,0.2508,0.2114,1.1865,0.2508,0.2114,1.1865,-0.1261,1.0078,0.5274,1.0921,,0.0000,CONSISTENT
instrument,futures,4h,buyhold,fixed,YM=F,FULL,2024-02-12,2026-07-07,3710,1545.9000,0.1437,0.1523,0.9438,0.1437,0.1523,0.9435,-0.1821,1.4617,0.5212,1.0845,,0.0000,CONSISTENT
instrument,futures,4h,buyhold,fixed,YM=F,IS,2024-02-12,2025-10-13,2595,1545.9000,0.1185,0.1552,0.7636,0.1184,0.1552,0.7632,-0.1821,0.9889,0.5210,1.0719,,0.0000,CONSISTENT
instrument,futures,4h,buyhold,fixed,YM=F,OOS,2025-10-13,2026-07-07,1115,1545.9000,0.2025,0.1454,1.3924,0.2025,0.1454,1.3924,-0.1058,1.1825,0.5217,1.1110,,0.0000,CONSISTENT
